,reviews
14,"YOU SKIP THIS HEADS-UP AT YOUR OWN RISK.Do not ever board Egypt air from UAE to any part of Africa. All their options including the most expensive economy have long hours of layover yet its STRICTLY no accomodation for anyone to and from UAE. You will be forced to sleep on the hard chairs amidst the mosquitoes and the cold atmosphere.Their staffs are arrogant, very rude and treat you like you begged them to let you fly with them. They would shut you down arrogantly and leave you with no explanation. Unfortunately for me I booked a round trip so I had to go through this horrible situation twice.Their seats are dirty and my phone was all soiled up after accidentally dropping it in the pocket behind the seat. My luggage delayed for 2days upon reaching and I had to drive for over 3hrs just to come back for my luggage.By far this has been the most humiliating and embarrassing moment of my travel life as a blogger. It might cost you a little extra but its worth it choosing other airlines over Egypt air."
15,Canceled flight. After waiting at the gate for an hour. No announcement at all.
16,Egyptair customer service are very nice and quick response through email. My travel agent wasn't responding and I was chasing them for two months for my confirmation but when I emailed directly to Egyptair  they responded me within half an hour and they confirmed my flights within two hours which was very surprised for me and sent my e tickets straight away. A very very big thank you egyptair I hope flight journey would be pleasant too.
17,"Surprised at all the negative feedback.I had a recent cancelled Easyjet flight so had to book last minute with EgyptAir, London-Hurghada. Nothing bad to say at all. Staff were friendly, food was nice, all processes were smoothly followed. One of the flights left late but we still arrived early. I think the communication on that was a bit poor as whoever was collecting me thought we were arriving a lot earlier, not sure what happened.But overall I was pleasantly surprised with the whole journey and service!"
18,"Atleast they make an effort to let their darker skinned African/African American passengers know they are disliked by the staff . The staff in Cairo will literally ignore someone speaking directly to their face , especially if you don’t speak Arabic . Flight wasn’t the most unpleasant but stewards just as rude and unhelpful."
19,"Cancelled 3 tickets after 10 hours of making the booking, submitted form online 26 working days ago and nothing till now! They never picking up calls no matter what time or which office in Cairo you called ! I’m taking it farther up will leave reviews everywhere and i will go to their office and recored them video if will not be solved will make case ! Such thieves please be aware do not book with EGYPTAIR"
20,"The worst airlines.Firstly, the passengers of the flight took bags and suitcases in their hand luggage that did not correspond to the sizes declared by the airline. All hand luggage in size was not placed on the luggage racks. At the same time, no one controlled the weight or size of hand luggage during check in. The crew also did not even make comments about this. Secondly, our online check-in for the flight was canceled due to the fact that a person with limited mobility was flying with me and we ordered the meet and assist service. In view of this, we already got only seats in front of the evacuation exit 22 A, B, where the seats do not recline. How can an elderly person with limited mobility spend 5 hours of flight in such a position?! Thirdly, the meet and assist service at Cairo Airport was provided poorly. Everything was late, very slow, the wheel chair was not get it  at once.Fourthly, when loading an elderly person with limited mobility on board an airplane in Cairo (flight MS 222), we were held for 30 minutes in the sun in the heat in front of the closed door of the plane because the flight attendants first started launching all passengers and only then a passenger with limited mobility, which contradicts the rules of all airlines.Fifthly, during the flight MS 222 Cairo-Sharm el Sheikh, our luggage was not loaded on board, it was simply forgotten in Cairo, which is why we had to return to Sharm El Sheikh airport again after a few hours to collect our luggage. We are very dissatisfied with the services of Egypt Air. Of all the airlines we have flown, this is the worst. It's a shame that Egypt Air is part of the Star alliance. I hope we will never have to use the services of Egypt Air again."
21,The worst airline company ever.Hello DearAs it shows we were able and allowed to travel to Ethiopia with only  Rapid test but the ground steward and the supervisor at Düsseldorf airport made us take an unnecessary PCR test which we had to buy and pay expensively .They told us we can't check in unless we have a PCR test certificate so they refused to accept the Rapid test certificate!!!On the flight back from Addis Ababa to Düsseldorf we had a delay of bags 5 totally which were left behind deliberately because they make more money out of cargos meaning i had to wait 10 days before have them delivered at my home address. 1 star too much actually. So people before you choose egypair think twice coz not only there price is cheap but there service is very very bad.I have sworn never to fly ever again with egyptair.
22,Crew Members were rude and there are disparities in the way they  treated customers within the continent of Africa  to the way they treat their customers outside the continent of Africa.
23,"Terrible customer service - do not book a connecting flight!We have a return flight from Nairobi to London, stopping in Cairo. Egyptair have changed the flight time of Nairobi to Cairo flight to a later time but not our connecting flight. This means our connection will have departed for London before we even reach Cairo airport!! After 5 requests to change our flights to another, being flexible by +3days and even offering to pay more to upgrade to business class seats, the airline has rejected all requests and not offered any solutions to return us home to London. Looks like we are going to have to pay another £2000 to book a return flight with another airline. I cannot express my frustration with this airline, I truly do not understand how they would do this."
24,Worst airlines ever! They damaged our babystroller that's worth over 10000 pounds and they will only refund us 3000 pounds for it & that's after we had to fight with them!!! Never ever going to use this unserious company again and never ever recommend it to anyone we know.
25,"If this is the pride of Egypt then its laughable, wannabe Emirates airlines with completely poor customer service in Cairo. Cant do anything to help, male dominated yet incompetent. Delayed my flight by 7hours yet offered no compensation, replacements or anything making me miss my connection flight which I then had to pay for again. Egyptair is the laughing stock of Arab airlines, total shambles, plus also a reflection of your country. Very laughable."
26,"Surprised at all the negative feedback.I had a recent cancelled Easyjet flight so had to book last minute with EgyptAir, London-Hurghada. Nothing bad to say at all. Staff were friendly, food was nice, all processes were smoothly followed. One of the flights left late but we still arrived early. I think the communication on that was a bit poor as whoever was collecting me thought we were arriving a lot earlier, not sure what happened.But overall I was pleasantly surprised with the whole journey and service!"
27,"I hate Egyptair very much. Bought a return ticket unfortunately so I was forced to use them again. That would justify this second bad review. You know how taking someone to the lung cancer ward helps with getting people to stop smoking... well, if you want someone to quit traveling make them fly Egyptair. Let me count the ways I hate Egyptair:1) Took the time to write another review to warn others not to use them.2) Didn't eat the food they were serving. I thought the beef meal presented at dinner was beef ribs until I stuck my fork in it and realized it was dogfood lasagne. Packets of cheese had discoloration (old cheese). This wife's chicken had a certain aroma, luckily it took away her hunger. 3) No extra water. 200ml of water, no more. If you're dehydrated that's your problem.4) Waited 1 hour for my first bag to come out of the baggage area. Nobody is around to let us know what's going on. Just you staring at the conveyor belt with no end in sight after a 14-hour flight. Subsequently, this made me miss my bus and I had to wait 2 extra hours for the next one.5) Stupid staff. The first of our connecting flights was late by 2+ hours. Making us nervous as to whether we would catch our second Egyptair flight. When we landed staff got cross at us for being late. Have you ever just stared at someone and come to realize that those warnings on bleach bottles actually serve a purpose.6) Security officer touched my dick twice when doing a routine body search. He nearly suffered blunt force trauma but luckily for him, there was no third attempt.Don't ever fly with Egyptair. Some companies deserve to go bankrupt."
28,"Atleast they make an effort to let their darker skinned African/African American passengers know they are disliked by the staff . The staff in Cairo will literally ignore someone speaking directly to their face , especially if you don’t speak Arabic . Flight wasn’t the most unpleasant but stewards just as rude and unhelpful."
29,Egyptair customer service are very nice and quick response through email. My travel agent wasn't responding and I was chasing them for two months for my confirmation but when I emailed directly to Egyptair  they responded me within half an hour and they confirmed my flights within two hours which was very surprised for me and sent my e tickets straight away. A very very big thank you egyptair I hope flight journey would be pleasant too.
30,I recently had a flight from London with Egypt air and had received my locked luggage zip open and some of my valuables missing. I had sent an email to the baggage team but havent received any reply.
31,"First the plane is very dirty, it’s not cleaned, and the planes are old. I also noticed when you take their plane in Africa, their attitude is very bad, they dint give you pillows or blanket, I noticed it twice but they change when you flying internationally to Canada or the US"
32,Absolute garbage. Wanted to save money for the cash we paid. Most utter disappointment I have ever seen. More like riding a garbage truck not a plane. ****
33,"I have been trying to book flights on this company fpr 1h30mns to enter all required details 3 times.Website is complicated and while am booking, it reloads with a 250euros more than what i was booking..Price is already so high that i wll search for another company, even with a stop. Better than this opportunistic company!😏"
34,Site does not accept US credit cards no matter how many different ones I try.
35,"Cancelled 3 tickets after 10 hours of making the booking, submitted form online 26 working days ago and nothing till now! They never picking up calls no matter what time or which office in Cairo you called ! I’m taking it farther up will leave reviews everywhere and i will go to their office and recored them video if will not be solved will make case ! Such thieves please be aware do not book with EGYPTAIR"
36,"WORST SERVICE EVER!Flight MS849 Cairo NairobiI just landed in Nairobi from Cairo (coming from Rome) with my 2 kids (11 and 6). Cabin crew rude and discriminating.Asked for blankets for my kids, they gave only to Muslim passengers. European and African passengers where not given and replied in a rude manner ""NO! WE DON'T HAVE"".Cabin crew looks and behave rude, even to the kids asking a simple glass of water. You may need to understand this simple concept:CHEAP FLIGHT DOESN'T NECESSARY JUSTIFY YOUR CHEAP SERVICE AND RUDE TREATMENT.I will never fly with you again, EVER! And be sure that I'll spread bad reviews for the next 12 months and to my 100k followers.You never know who's flying in economy class. I will also write to Skytrax as I am in contact with their media office.Good luck with your cheap airline! You don't have a bright future ahead...YOU RUDE, INCOMPETENT, CHEAP and RACIST!My kids left the aircraft with running nose and shaverin. You will pay for that. Not only in reputation. Allah knows what to do... OH, yes, I forgot to say, I'm a Muslim too. Should I have told you before to ask for blankets?"
37,Hi the Egypt Air check person at Heathrow incorrectly marked my luggage to be collected at my transit stop Cairo and not my end destination of Johannesburg as it should have been. She insisted this was the way its done.Behold I am now in Johannesburg without luggage as I could not and was not allowed to pick up my bags at Cairo.The Egypt Air staff at Cairo did nothing to help.They just say lodge a complaint and case. Nothing more to discuss. Rude and dismissive to the point of the agent told me to go back and take another flight from where I came from and speak to the check in there. What an absurd experience.
38,"MS754 Madrid to Cairo, $400 Business Class Upgrade on 27 May 2022.  STAY AWAY!!!!    Unhealthy, foul, unsanitary airline.  An environment perfect for respiratory diseases and Covid 19 viruses, which are currently in their global prime.  I paid an additional 400 USD for the upgraded ""privilege"" of sitting under these air vents for 4 hrs, as did all the other passengers.  The filthiness of this airline complements their staff response when the issue was brought to their attention.  I requested an upgrade for this flight and it was accepted for $400 additional USD, which made this 4 hr disgusting flight a $750 journey.  The attendant cabin crew was not responsible per say, but it is their daily work space.  The blame for this Covid19 soup lies squarely upon completely inept management, poor (non-existent) quality control and cultural apathy, as evidenced by their response.  Please imagine a family member of yours with respiratory problems and then look at the pictures of 3 weeks ago.  This is not a ""one-time"" incident of cleaning oversight.  This was how the entire cabin looked and not doubt, the rest of their fleet.  The food may have been tasty but I spent the majority of my time swatting flies away.  Corporate response (paraphrased) was a cut and paste of  ""Sorry - we will look into it"".   I will drink a gallon of wastewater from Ganges river in India before I ever fly with this airline again.  Truly a disgusting business venture that should be prohibited from carrying passengers..... camels maybe.  On second thought, no, not even camels.  Absolutely deserving of the exceptionally poor reputation they have earned.   There are always alternatives.  Do yourself a favor and avoid this unsanitary and uncaring group of faux professionals trying to run an airline."
39,Delayed flight on way to Aswan and delayed currently waiting to board to Istanbul via Cairo. Avoid
40,"Really bad experience, fees needed to change plane date within 24 hours of booking"
41,"I had 4 trips with Egyptair last weekAmsterdam - CairoCairo - LuxorAswan - CairoCairo - AmsterdamOn the first trip they explained de emergency door to everyone expect to me (a women) THIS IS A SAFETY HAZARD FOR EVERYONE who would need my assistance during an emergency. When we asked the vegetarian meal they told us; just take the chicken and throw the meat of.The toilet was disgusting everything wet of water I hoped, but the smell told me otherwise. After cleaning the nessecerry part to releave myself I thought how upset I would be if this plain would be my investment. Urine walked all over the carpet of your plain and the health hazard for people/children on-board. The other flight was no different only that it left very late. They started boarding and busses were already bringen people to the plain just to bring them all back again after 15 min.  due to technical failure of the plane so the told us. Well that felt like a comfortable thought. We think an could see something else going on but I don't want to go there because it is more speculation than fact on my part.Iside noten Aswan some guy from customs was standing before the toilets and whispered money money just before I walked in showing some bills he was holding in his hand. I know this is not allowed so I pulled up an eyebrow and asked him a bit to loud money?!?! he  then  replied  no toilet mam toilet en left.Will be sending customer service at Aswan an email about that. CORUPTION IS A SAFETY HAZERDMy only compliment goes out to the people working at the incheck desk. very good, hardworking and kind people every time.Pay a bit more, search a little harder because you do not want this to be the beginning and the end of your trip."
42,"I recently flew with Egypt air during a trip with family. We were meant to have five flights: one from the US to Cairo, two from Luxor to Amman, and two to get us back to the US. Before our trip, we were notified that the second flight from Luxor to Amman had been cancelled, and we had been rebooked for a flight five hours later. Because it was a connecting flight, this meant we had a layover five hours longer than we had planned. We were given no reason why our flight had been cancelled, no apology for the change, and no compensation offer. While this was frustrating as it changed our travel plans, we did not complain. However, in the middle of our trip, we were notified that the first of our flights back to the US had been cancelled, and we were rebooked for a different flight 2 DAYS later. Note that the second, connecting flight, was still booked for the original date and egypt air had not changed that. Again, there was no explanation, apology, or compensation. After hours (of vacation time) spent on the phone with and in the offices of Egypt air, we learned that both our cancelled flights were cancelled simply because they were not fully booked. Egypt air said the only thing they could do was refund the cost of the flight that we had not yet used (the return flight). This could not possibly cover us booking flights with a different airline for our original date, as this happened only a week before we were flying and all flights were more expensive at that point. Egypt air refused to provide housing for us or rebook us on another carrier. I’m not sure how they expected us to make our connecting flight that was still for the original date. In addition to all of this, at the airport, we approached an Egypt air help desk to ask about our flights and try to get compensation. After being ignored for several minutes by 6 agents not doing any other work, we were finally helped. However, in the middle of us talking, the agent took a cell phone call and ignored us again. Finally, we were told they could not help us at that desk, the only desk that we could be helped at was outside the terminal (which we couldn’t get to), but they couldn’t do anything anyway so not to bother. Overall, this was by far the worst flying experience any of us have ever had. Horrendous customer service. Egypt air has guaranteed that none of us will ever be flying with them again, and I urge anyone else who wants even a halfway decent flying experience to avoid Egypt air at all cost."
43,"I rarely write reviews, especially negative ones, but this review needed to be written. EgyptAir is the absolute worst airline I have ever experienced. Staff that absolutely don’t care about travelers. I’m absolutely disgusted by the way I was treated. I had a flight from Luxor to Alexandria via Cairo. I showed the attendant my boarding passes while checking in my bags. He told me that the boarding passes were no longer relevant because the flight changed. Without any explanation of what actually changed. Then he gave me boarding passes to Cairo only, and marked my luggage to arrive in Cairo. I stopped him and tried to explain that I’m going to Alexandria. He corrected me and said that I’m mistaken. That my flight was only to Cairo. I explained that I have proof I have two legs on EgyptAir from Luxor to Cairo and then from Cairo to Luxor. He insisted that I was wrong, despite the ticket I presented. Then another attendant started searching for my ticket at the next counter over after seeing how frustrated I was. New information emerged. My flight from Cairo to Alexandria was apparently canceled and I had supposedly received an email. No email was received. The attendant then proceeded to explain that I needed to stop in Cairo, pick up my luggage and then file a complaint. No attempt to book me on an alternative flight was made or secure accommodations for me. I’ll be landing at night, around 9pm. I don’t live in Cairo, and don’t have a hotel reservation there. I argued that this isn’t how airlines should handle cancelations. I asked to speak to a manager, and Mr Kamal Mohammad Ahmed (my attempt at reading the scribbled name he gave on a torn piece of paper), the first attendant, ridiculed me by saying he’s the manager and that there is nothing further to discuss. Just like those comedy shows where everyone is the manager. I picked up my boarding pass to Cairo and walked away. I felt humiliated. I felt ashamed to be an Egyptian. I felt disgusted by the staff at EgyptAir. So much for Egyptian hospitality. I plan to drive from Cairo to Alexandria. I will be making no attempts at booking another flight with them. In any event, be careful when booking and safe travels!"
44,Absolutely horrible airline with the worse customer service. They lost my baggage and I’ve been through hell with them. They don’t seem to care about their customers at all. They never reply to your emails and calls. Not worth the headache. Stay away !!
45,"I had a really good experience with Egypt air. The food was great, the service was good and they are really friendly staff! We lost our phone when getting out of the plane in Cairo, and we had a transfer. We informed the security and the staff at the plane checked our seats but couldnt find anything. after 30 min search they found it below the plane, since it fell when we where outside. They came with it and we really had an amazing service! Best staff and really good quality. I got a bit of noseblood because of air pressure, the staff helped me so much with getting ice and check up on me. Everything from food to the staff on craft was really good! The stewards are the best and deserves a lot of credit!"
46,"I am a frequent flyer and have to say EgyptAir is definitely the worst airline I have ever used. London Heathrow to Luxor return flights end of May 22. Very old planes. Terrible food. Only offered a 2 small cups of water on a 5 hour flight. They also ran out of water so we were incredibly thirsty (the plane was very hot). No other soft/ alcoholic drinks available. Poor service, stewards spent most of time watching Tik Tok videos at back of plane. Expensive flights for very little provided. I can imagine Business Class wasn't much better. If possible choose another airline to your destination."
47,Poor experience! I used egyptair travelling from Dubai to egypt return. On the way to egypt my flight was delayed 1.5 hours apart from that everything was normal nothing particularly impressive and nothing particularly off putting. My journey bag was terrible. After having an operation I called and requested to have wheel chair assistance and I was informed this would be available on my arrival to the airport and someone would call me on the day. I received no call. On arrival to the airport there was no assistance pre security and I paid a porter to help and had to manage. I was then informed there was no egyptair representatives available as I was early and wheel chair assistance was only available after check in. I sat and waited when check in finally opened (about 1 hour late) the flight was delayed 2 hours this time. I was finally provided with a wheel chair and taken to check in I asked for a spacious seat with easy access or I was happy to pay to upgrade. I was allocated a seat which I was promised was spacious and no need to upgrade. Upon going to the aircraft: 1. Aircraft was very unclean 2. The seat allocated to myself was in fact very small and restricted more than the ordinary seat 3. Was refused an upgrade which I was happy to pay for4. Was told by staff they couldn’t assist me in putting my bag in the over head.5. People behind me were complaining about lack of blankets and their kids being too cold. The airline had none to provide.This all seemed down to a specific gentleman from ground control who was the same one that checked me in. Really unprofessional service won’t be using again.
48,"I have still not received refund from Egyptair since March 2022 for a flight Eguptair decided to cancelled. I phoned the local office but that number does not exist. I phoned the international number and was transferred to 5 different ""customer care"" operators until the line disconnected. I have emailed them to their online refund email since March 2022 and have not received my money as promised - DO NOT FLY WITH THIS AIRLINE"
49,Very poor service. Flight attendances do not seem care even when my call button was lit.Worst business class ever.
50,"On 7/05/2022 travelled with Egypt Airbus 330-300 flight no Ms 779 from Cairo to London their customers service is rubbish one of cabin crew prevented me from using one of the toilets he was very rude  he to told me don’t use this toilet  go go. I asked another cabinet crew for water he asked me to follow him and get water for my self while he was giving water to white guys in front of me while they were sitted, there is no equal opportunity  I will never recommend Egypt air to any one it is rubbish,rubbish rubbish"
51,"If we checked in at hurghada airport one check in stuff member tried  to sell us the emergency seats for 15€ per person , I am pretty sure this is not allowed . If we said no to that, he immediately changed his mood and precisely checked the weight of our luggage. We have 20kg plus 7 hand luggage and he told us that we have 4 kg overweight and tried to charge extra ,  even we were perfectly under the total amount. That is absolutely unbelievable that the airline treat their customers like that , nevertheless they have no service on board and unfriendly rude stuff - THIS is not acceptable!!"
52,"On Sunday 27th of March I had a flight from Cairo Airport to Barcelona  The initial flight MS767 was supposed to depart at 11.05 am but after waiting 1.5 hours , departure and then going back to the airport the craft was landed again due to technical reasons. To sum up the flight was delayed in total 5,3 hours that meant we left at 16.30 pm instead of 11.0 am.The problem with this is that I had a connecting flight from Barcelona to Alicante (Spain) which of course I lost because of the 5,3 hours delay.                                 Because of this I had to stay 1 night in Barcelona and incur in additional expenses such as accommodation, dinner and another means of transport to go to Alicante the next day.There was nobody at the airport representing the company to even ask if we needed any assistance, what would happen to passengers who had other connecting flights, it was 21.00 pm and there was no other flights, buses or trains and I had to organize that night in Barcelona all by myself and apart from that I had to take one day leave from work and as I said with no one at the airport or in the plane asking if we needed any assistance because of the 5,3 hours delay.I have been writing to customer service ever since but after just one apology and lame excuse they did nothing and have not responding to my emails ever since.They just dont care"
53,Best airline in the world
54,"The worst airline ever with rude, racist and ignorant staff members with poor communication skills. They refuse me to board hence I was in transit due to untruthful reasons. How can they say my documents are invalid while I used the same documents to travel several times. They dont respect black people and they are only friendly to those that speak Arabic. They scream to passengers. Their airport is unhygienic including their Airport Hotel with dilapidated bathrooms. They are refusing to provide WiFi access to passengers both on board and st the airport. All in all this airline is operated by racist, rude, worst, disrespectful, bullies, humiliators and inconsiderate staffs."
55,We arrive at Heathrow to flight to luxor but could not check-in as they were still check-in flight to cario.After about 45 minutes check-in was on business class so went though to the lufthansa lounge that was very very poor very poor choice of food and drinks.As for egyptair planes business class it is just not worth the money only got one bottle of water small. Tin of coke and one cup of coffee beside giving out the food which was OK. The crew were asleep they were when I went to the toilet which are extra small I'm not big there was just enough room to turn around overall the plane looks old and dirty as for TV its so small had a hard time looking at it. And then too make worse they lost our luggage it has been 12 days now and still haven't got a clue to whereabouts of it and egyptair so called wecare team are a joke should be called we DON'T care team. I will never flight egyptair again I would go without a holiday than go with egyptair again please save your money and go with another airline. Because egyptair as to be one of the worst airline in the world.Because as soon as you mentioned compensation which we are own they just don't want to know.
56,"This is the most unprofessional and incompetent set of people. Our flight was set to depart from JFK airport on 3/31/22 at 5:15pm. Upon check in at 1pm (4hrs before the flight), they were telling us that the flight is delayed one hour. This is important to note because for those that are regular travelers, you know that a delay is usually last minute and not something known 4 hours in advance. The plane was actually there but we did not board the plan until 8:30 pm. Once on the plane, we sat for an hour before being notified that the flight was cancelled. When we deboarded the plane, we were told to go back to the check in area. When we arrived, we were told there are no refunds and we cannot get our baggage. They said the plane needed “a piece” and it will arrive from Egypt the following evening. They were unable to provide a scheduled time for next flight and now said the original flight was delayed instead of cancelled. Many passengers missed connecting flights and many have decided to cancel travel due to this issue. However, they still have refused to refund or provide customers with their belongings. They have told customers “if you decide to cancel”. Wording is important because this takes the ownership off of them. Over 300 passengers (which included many infants and toddlers) waited at JFK airport until after 2am trying to get answers on their belongings or on another flight. They obtained 2 hotel rooms for 100 passengers. The rest of the passengers either went home or stayed in the airport. They asked people to leave their names and phone numbers and their boarding passes so they can call and say “when to come back to the airport”. Everyone was told different times to return to the airport- some were told 3pm and others 6pm. The manager, Ahmed, said he does not think the plane will leave before 8pm (over 24 hrs after the original flight time). The other manager, Omar, was useless and walked aimlessly back and forth texting on his cell phone. There is no certainty the plane will actually leave at all. Mashallah! The scene at the airport was complete chaos. Several papers with personal information for passengers, other passengers rummaging through the boarding passes of those who went home, lots of screaming and cursing. And the one word that was never said was SORRY! No apologies and no care on how this has affected others. There has been no intent on trying to provide answers or solutions. They even told those who want their luggage that the luggage will go to Cairo with or without them on the flight- a FAA violation. They do not care. This is an Egyptian airline and they follow Egyptian rules- their own rules. They do what they want and do not care about anything except making money."
57,"My flight was cancelled 4 days before departure; however, the customer service office in UAE did an absolute wonderful job of finding us 2 transfer flights. They were very friendly and attentive to the problem and figured out the difficult task of helping us depart Moscow during a time of limited flights. The main flight itself from Cairo to Washington (IAD) was comfortable and the cabin crew was friendly. The main dish was tasty and the included travel bag was a nice touch. The flight was clean and thought was put into not disturbing sleeping passengers on the red eye flight (Cairo-Dulles). In general the 12 hour flight was nice and arriving in Washington in the morning was pleasant. All together I was impressed with the airline for the way their customer service handled our problem and the flights themselves. I would only deduct that the snack meal provided could be with less bread."
58,I booked tickets Jeddah to london it was connecting flights my flights was 27th of March 24th March I received a text from Egypt airlines my flights from Jeddah to Cairo is cancelled but Cairo to london is on time I don’t understand how am I catch the flight Cairo to london who ever in Egypt airlines was dealing with this matter is extremely unprofessional I am warning everyone be careful buying tickets from Egypt airlines I suffered and lost lots of money and they ruined my holiday I will tell all my friends and family members and other media be careful to deal with Egypt airlines My original flight no was ms668
59,Ticket cancelled. No support available in any country. as no one ever picks the phone. The website is so backwards that nothing works there. Nothing literally. The only way is to get in touch with them is via a lawyer!
60,I JUST CONTACTED COUSTMER SERVICES TO UPDATE MY CHILD DATE OF BIRTH FOR MY UPCOMING TRAVEL TO EGYPT...AFTER AN HOUR AND 47 MINUTES ON HOLD ..I GOT A VERY VERY VERY RUDE PERSON AND AS SOON AS I TOLD HIM MY CONCERN HE SAID NO I CAN'T DO THIS AND HUNG UP ON ME ....NEVER AGAIN ...
61,"Rubbish. Absolutely disrespectful and rude staff. Will not answer your queries. Not worth it. Horrible customer service, horrible treatment of their customers. Bad airline."
62,Worst airline I have ever travelled with. Rude staff that don’t communicate anything. Flight delayed by hours with no explanation as to why. Terrible terrible customer service. Do not fly with them.
63,"Stay away from this cheating company. My son, along with a group of other boys, arrived at the Cairo airport well in advance, for return to Denmark. They were denied entry to flight with the claim that they had arrived late (they had arrived 3 hours before).It is hopeless to get in touch with them, they neither answering calls nor emails."
64,"Very worst experience in my life ever, zero  percent customer services. They are making us  fool."
65,Used Egypt Air for following route:ADD to CAI ( 4.5 hours late)CAI to LUX  LUX to CAICAI to SHHSSH to CAICAI to ADDAll flights were late ranging 45 mins to 4.5hrs. Our connecting flight was late to CAI and Egypt Air took no responsibility. We were forced to purchase new tickets to ADD and obtain our own hotel room. They have a boiler room style sales team at CAI. A $250 ended up costing us an additional $500 per person. Brutal with zero value for the customer well being. The part they are missing is how many people are affected when travelers are discouraged from traveling to Egypt. Lesson learned and will make best efforts never to repeat.
66,I have tried to use my credit for two cancelled flights last year and can't get through to Egyptair at all. The phone is always busy. There is no way of using the credit online and no instructions although they told me it would be easy to do. Terrible service. Now going to their offices in Hammersmith which is probably some lock up fake office. I will NEVER use them again.
